Match-no.,Date,Day,Team-A,Team-B,Group,Venue,Country
1,01-Jun-24,Saturday,USA,Canada,Group A,Dallas,USA
2,02-Jun-24,Sunday,West Indies,PapuaNewGuinea,Group C,Guyana,West-Indies
3,02-Jun-24,Sunday,Namibia,Oman,Group B,Barbados,West-Indies
4,03-Jun-24,Monday,Sri Lanka,SouthAfrica,Group D,New York,USA
5,03-Jun-24,Monday,Afghanistan,Uganda,Group C,Guyana,West-Indies
6,04-Jun-24,Tuesday,England,Scotland,Group B,Barbados,West-Indies
7,04-Jun-24,Tuesday,Netherlands,Nepal,Group D,Dallas,USA
8,05-Jun-24,Wednesday,India,Ireland,Group A,New York,USA
9,05-Jun-24,Wednesday,Papua New Guinea,Uganda,Group C,Guyana,West-Indies
10,05-Jun-24,Wednesday,Australia,Oman,Group B,Barbados,West-Indies
11,06-Jun-24,Thursday,USA,Pakistan,Group A,Dallas,USA
12,06-Jun-24,Thursday,Namibia,Scotland,Group B,Barbados,West-Indies
13,07-Jun-24,Friday,Canada,Ireland,Group A,New York,USA
14,07-Jun-24,Friday,New Zealand,Afghanistan,Group C,Guyana,West-Indies
15,07-Jun-24,Friday,Sri Lanka,Bangladesh,Group D,Dallas,USA
16,08-Jun-24,Saturday,Netherlands,SouthAfrica,Group D,New York,USA
17,08-Jun-24,Saturday,Australia,England,Group B,Barbados,West-Indies
18,08-Jun-24,Saturday,West Indies,Uganda,Group C,Guyana,West-Indies
19,09-Jun-24,Sunday,India,Pakistan,Group A,New York,USA
20,09-Jun-24,Sunday,Oman,Scotland,Group B,Antigua and Barbuda,West-Indies
21,10-Jun-24,Monday,South Africa,Bangladesh,Group D,New York,USA
22,11-Jun-24,Tuesday,Pakistan,Canada,Group A,New York,USA
23,11-Jun-24,Tuesday,Sri Lanka,Nepal,Group D,Lauderhill,USA
24,11-Jun-24,Tuesday,Australia,Namibia,Group B,Antigua and Barbuda,West-Indies
25,12-Jun-24,Wednesday,USA,India,Group A,New York,USA
26,12-Jun-24,Wednesday,West Indies,NewZealand,Group C,Trinidad and Tobago,West-Indies
27,13-Jun-24,Thursday,England,Oman,Group B,Antigua and Barbuda,West-Indies
28,13-Jun-24,Thursday,Bangladesh,Netherlands,Group D,Saint Vincent and the Grenadines,West-Indies
29,13-Jun-24,Thursday,Afghanistan,PapuaNewGuinea,Group C,Trinidad and Tobago,West-Indies
30,14-Jun-24,Friday,USA,Ireland,Group A,Lauderhill,USA
31,14-Jun-24,Friday,South Africa,Nepal,Group D,Saint Vincent and the Grenadines,West-Indies
32,14-Jun-24,Friday,New Zealand,Uganda,Group C,Trinidad and Tobago,West-Indies
33,15-Jun-24,Saturday,India,Canada,Group A,Lauderhill,USA
34,15-Jun-24,Saturday,Namibia,England,Group B,Antigua and Barbuda,West-Indies
35,15-Jun-24,Saturday,Australia,Scotland,Group B,Saint Lucia,West-Indies
36,16-Jun-24,Sunday,Pakistan,Ireland,Group A,Lauderhill,USA
37,16-Jun-24,Sunday,Bangladesh,Nepal,Group D,Saint Vincent and the Grenadines,West-Indies
38,16-Jun-24,Sunday,Sri Lanka,Netherlands,Group D,Saint Lucia,West-Indies
39,17-Jun-24,Monday,New Zealand,PapuaNewGuinea,Group C,Trinidad and Tobago,West-Indies
40,17-Jun-24,Monday,West Indies,Afghanistan,Group C,Saint Lucia,West-Indies
41,19-Jun-24,Wednesday,A2,D1,Group 2,Antigua and Barbuda,West-Indies
42,19-Jun-24,Wednesday,B1,C2,Group 2,Saint Lucia,West-Indies
43,20-Jun-24,Thursday,C1,A1,Group 1,Barbados,West-Indies
44,20-Jun-24,Thursday,B2,D2,Group 1,Antigua and Barbuda,West-Indies
45,21-Jun-24,Friday,B1,D1,Group 2,Saint Lucia,West-Indies
46,21-Jun-24,Friday,A2,C2,Group 2,Barbados,West-Indies
47,22-Jun-24,Saturday,A1,D2,Group 1,Antigua and Barbuda,West-Indies
48,22-Jun-24,Saturday,C1,B2,Group 1,Saint Vincent and the Grenadines,West-Indies
49,23-Jun-24,Sunday,A2,B1,Group 2,Barbados,West-Indies
50,23-Jun-24,Sunday,C2,D1,Group 2,Antigua and Barbuda,West-Indies
51,24-Jun-24,Monday,B2,A1,Group 1,Saint Lucia,West-Indies
52,24-Jun-24,Monday,C1,D1,Group 1,Saint Vincent and the Grenadines,West-Indies
53,26-Jun-24,Wednesday,TBD,TBD,Semi-final 1,Guyana,West-Indies
54,27-Jun-24,Thursday,TBD,TBD,Semi-final 2,Trinidad and Tobago,West-Indies
55,29-Jun-24,Saturday,TBD,TBD,Final,Barbados,West-Indies
