team_1,team_2,season,date,venue,city,toss_winner,toss_decision,player_of_match,winner,win_by_runs,win_by_wickets
Australia,Sri Lanka,2016/17,2017/02/17,Melbourne Cricket Ground,,Sri Lanka,field,DAS Gunaratne,Sri Lanka,0,5
Australia,Sri Lanka,2016/17,2017/02/19,"""Simonds Stadium, South Geelong""",Victoria,Sri Lanka,field,DAS Gunaratne,Sri Lanka,0,2
Australia,Sri Lanka,2016/17,2017/02/22,Adelaide Oval,,Sri Lanka,field,A Zampa,Australia,41,0
New Zealand,Bangladesh,2016/17,2017/01/03,McLean Park,Napier,Bangladesh,bat,KS Williamson,New Zealand,0,6
New Zealand,Bangladesh,2016/17,2017/01/06,Bay Oval,Mount Maunganui,Bangladesh,field,C Munro,New Zealand,47,0
New Zealand,Bangladesh,2016/17,2017/01/08,Bay Oval,Mount Maunganui,Bangladesh,field,CJ Anderson,New Zealand,27,0
New Zealand,South Africa,2016/17,2017/02/17,Eden Park,Auckland,New Zealand,field,Imran Tahir,South Africa,78,0
England,South Africa,2017,2017/06/21,The Rose Bowl,Southampton,South Africa,bat,JM Bairstow,England,0,9
England,South Africa,2017,2017/06/23,County Ground,Taunton,England,field,CH Morris,South Africa,3,0
England,South Africa,2017,2017/06/25,Sophia Gardens,Cardiff,South Africa,field,DJ Malan,England,19,0
West Indies,England,2017,2017/09/16,Riverside Ground,Chester-le-Street,England,field,SP Narine,West Indies,21,0
India,England,2016/17,2017/01/26,Green Park,Kanpur,England,field,MM Ali,England,0,7
India,England,2016/17,2017/01/29,"""Vidarbha Cricket Association Stadium, Jamtha""",Nagpur,England,field,JJ Bumrah,India,5,0
India,England,2016/17,2017/02/01,M Chinnaswamy Stadium,Bangalore,England,field,YS Chahal,India,75,0
Afghanistan,Ireland,2016/17,2017/03/08,Greater Noida Sports Complex Ground,Greater Noida,Ireland,bat,Samiullah Shenwari,Afghanistan,0,6
Afghanistan,Ireland,2016/17,2017/03/10,Greater Noida Sports Complex Ground,Greater Noida,Afghanistan,bat,"Najeeb Tarakai, Rashid Khan",Afghanistan,17,0
Afghanistan,Ireland,2016/17,2017/03/12,Greater Noida Sports Complex Ground,Greater Noida,Ireland,field,Mohammad Nabi,Afghanistan,28,0
