version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,Afghanistan
info,gender,male
info,season,2022/23
info,date,2023/03/27
info,event,Afghanistan v Pakistan
info,match_number,3
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Afghanistan
info,toss_decision,field
info,player_of_match,Shadab Khan
info,umpire,Ahmed Shah Pakteen
info,umpire,Bismillah Shinwari
info,reserve_umpire,Farooq Khan
info,tv_umpire,Akbar Ali
info,match_referee,Hamim Khan
info,winner,Pakistan
info,winner_runs,66
info,player,Pakistan,Mohammad Haris
info,player,Pakistan,Saim Ayub
info,player,Pakistan,Tayyab Tahir
info,player,Pakistan,Abdullah Shafique
info,player,Pakistan,Iftikhar Ahmed
info,player,Pakistan,Imad Wasim
info,player,Pakistan,Shadab Khan
info,player,Pakistan,Mohammad Nawaz
info,player,Pakistan,Mohammad Wasim
info,player,Pakistan,Zaman Khan
info,player,Pakistan,Ihsanullah
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Sediqullah Atal
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Usman Ghani
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Mujeeb Ur Rahman
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Fazalhaq Farooqi
info,registry,people,Abdullah Shafique,fc2fffb5
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,Akbar Ali,e753931d
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Farooq Khan,c1d0caa5
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,Hamim Khan,f82540a3
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Iftikhar Ahmed,29e253dd
info,registry,people,Ihsanullah,c290033d
info,registry,people,Imad Wasim,9cb8d7a6
info,registry,people,Karim Janat,62175638
info,registry,people,Mohammad Haris,ff3f6fc1
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Nawaz,3086f7a4
info,registry,people,Mohammad Wasim,9e9af5f2
info,registry,people,Mujeeb Ur Rahman,7d92277a
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Saim Ayub,33609a8c
info,registry,people,Sediqullah Atal,3c28853f
info,registry,people,Shadab Khan,9de62878
info,registry,people,Tayyab Tahir,431f8af4
info,registry,people,Usman Ghani,e3829b2a
info,registry,people,Zaman Khan,28392e11
