version,2.2.0
info,balls_per_over,6
info,team,India
info,team,Afghanistan
info,gender,male
info,season,2023/24
info,date,2024/01/17
info,event,Afghanistan tour of India
info,match_number,3
info,venue,"M Chinnaswamy Stadium, Bengaluru"
info,city,Bengaluru
info,toss_winner,India
info,toss_decision,bat
info,player_of_match,RG Sharma
info,umpire,J Madanagopal
info,umpire,VK Sharma
info,reserve_umpire,M Krishnadas
info,tv_umpire,R Pandit
info,match_referee,J Srinath
info,outcome,tie
info,eliminator,India
info,player,India,YBK Jaiswal
info,player,India,RG Sharma
info,player,India,V Kohli
info,player,India,S Dube
info,player,India,SV Samson
info,player,India,RK Singh
info,player,India,Washington Sundar
info,player,India,Kuldeep Yadav
info,player,India,Ravi Bishnoi
info,player,India,Avesh Khan
info,player,India,Mukesh Kumar
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Najibullah Zadran
info,player,Afghanistan,Sharafuddin Ashraf
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Qais Ahmad
info,player,Afghanistan,Mohammad Saleem
info,registry,people,Avesh Khan,eef2536f
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,J Madanagopal,8275b04a
info,registry,people,J Srinath,bad31fac
info,registry,people,Karim Janat,62175638
info,registry,people,Kuldeep Yadav,8d2c70ad
info,registry,people,M Krishnadas,e298c588
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Mohammad Saleem,938bff19
info,registry,people,Mukesh Kumar,2cffab74
info,registry,people,Najibullah Zadran,1212cbec
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,R Pandit,8a604384
info,registry,people,RG Sharma,740742ef
info,registry,people,RK Singh,0a509d6b
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Ravi Bishnoi,df064e1a
info,registry,people,S Dube,a4e37e47
info,registry,people,SV Samson,a4cc73aa
info,registry,people,Sharafuddin Ashraf,7e678d00
info,registry,people,V Kohli,ba607b88
info,registry,people,VK Sharma,a7a49df4
info,registry,people,Washington Sundar,f19ccfad
info,registry,people,YBK Jaiswal,6c19c6e5
