version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Sri Lanka
info,gender,male
info,season,2023
info,date,2023/10/04
info,event,Asian Games Men's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Sri Lanka
info,toss_decision,field
info,umpire,Asif Yaqoob
info,umpire,Masudur Rahman
info,reserve_umpire,A Natarajan
info,tv_umpire,VG Rathi
info,match_referee,Prakash Bhatt
info,winner,Afghanistan
info,winner_runs,8
info,player,Afghanistan,Sediqullah Atal
info,player,Afghanistan,Mohammad Shahzad
info,player,Afghanistan,Noor Ali Zadran
info,player,Afghanistan,Shahidullah
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Sharafuddin Ashraf
info,player,Afghanistan,Afsar Zazai
info,player,Afghanistan,Qais Ahmad
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Zahir Khan
info,player,Sri Lanka,S Daniel
info,player,Sri Lanka,L Croospulle
info,player,Sri Lanka,MNK Fernando
info,player,Sri Lanka,SSD Arachchige
info,player,Sri Lanka,KNA Bandara
info,player,Sri Lanka,LU Igalagamage
info,player,Sri Lanka,RS Fernando
info,player,Sri Lanka,SMLD Samarakoon
info,player,Sri Lanka,V Viyaskanth
info,player,Sri Lanka,N Vimukthi
info,player,Sri Lanka,N Thushara
info,registry,people,A Natarajan,a2b73ae0
info,registry,people,Afsar Zazai,50930025
info,registry,people,Asif Yaqoob,6b35790c
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,KNA Bandara,585dda5d
info,registry,people,Karim Janat,62175638
info,registry,people,L Croospulle,e30c9b2d
info,registry,people,LU Igalagamage,07b6c3c1
info,registry,people,MNK Fernando,ba603555
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mohammad Shahzad,d6dcb0c9
info,registry,people,N Thushara,ee1b6c27
info,registry,people,N Vimukthi,b215a7be
info,registry,people,Noor Ali Zadran,72e46d30
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,RS Fernando,24d72446
info,registry,people,S Daniel,a38e7be7
info,registry,people,SMLD Samarakoon,d28f4d1c
info,registry,people,SSD Arachchige,c05f9d20
info,registry,people,Sediqullah Atal,3c28853f
info,registry,people,Shahidullah,82b90140
info,registry,people,Sharafuddin Ashraf,7e678d00
info,registry,people,V Viyaskanth,03a83c50
info,registry,people,VG Rathi,144e5b16
info,registry,people,Zahir Khan,786b7fe8
