version,2.2.0
info,balls_per_over,6
info,team,Pakistan
info,team,Afghanistan
info,gender,male
info,season,2023
info,date,2023/10/06
info,event,Asian Games Men's Cricket Competition
info,venue,Zhejiang University of Technology Cricket Field
info,city,Hangzhou
info,toss_winner,Afghanistan
info,toss_decision,field
info,umpire,Masudur Rahman
info,umpire,RSA Palliyaguruge
info,reserve_umpire,A Natarajan
info,tv_umpire,VG Rathi
info,match_referee,Prakash Bhatt
info,winner,Afghanistan
info,winner_wickets,4
info,player,Pakistan,Omair Yousuf
info,player,Pakistan,Mirza Baig
info,player,Pakistan,Rohail Nazir
info,player,Pakistan,Haider Ali
info,player,Pakistan,Qasim Akram
info,player,Pakistan,Khushdil Shah
info,player,Pakistan,Asif Ali
info,player,Pakistan,Arafat Minhas
info,player,Pakistan,Aamer Jamal
info,player,Pakistan,Usman Qadir
info,player,Pakistan,Sufiyan Muqeem
info,player,Afghanistan,Sediqullah Atal
info,player,Afghanistan,Mohammad Shahzad
info,player,Afghanistan,Noor Ali Zadran
info,player,Afghanistan,Shahidullah
info,player,Afghanistan,Afsar Zazai
info,player,Afghanistan,Karim Janat
info,player,Afghanistan,Gulbadin Naib
info,player,Afghanistan,Sharafuddin Ashraf
info,player,Afghanistan,Qais Ahmad
info,player,Afghanistan,Fareed Ahmad
info,player,Afghanistan,Zahir Khan
info,registry,people,A Natarajan,a2b73ae0
info,registry,people,Aamer Jamal,a8e54ef4
info,registry,people,Afsar Zazai,50930025
info,registry,people,Arafat Minhas,f2e8b37c
info,registry,people,Asif Ali,0a4736eb
info,registry,people,Fareed Ahmad,67b7bad4
info,registry,people,Gulbadin Naib,9f77963a
info,registry,people,Haider Ali,c13e34f4
info,registry,people,Karim Janat,62175638
info,registry,people,Khushdil Shah,fce581b5
info,registry,people,Masudur Rahman,9581ac6b
info,registry,people,Mirza Baig,96ce6752
info,registry,people,Mohammad Shahzad,d6dcb0c9
info,registry,people,Noor Ali Zadran,72e46d30
info,registry,people,Omair Yousuf,f8e3c0f8
info,registry,people,Prakash Bhatt,f848ab0b
info,registry,people,Qais Ahmad,8d5d991e
info,registry,people,Qasim Akram,b6359668
info,registry,people,RSA Palliyaguruge,4339c19d
info,registry,people,Rohail Nazir,522bea89
info,registry,people,Sediqullah Atal,3c28853f
info,registry,people,Shahidullah,82b90140
info,registry,people,Sharafuddin Ashraf,7e678d00
info,registry,people,Sufiyan Muqeem,4277234d
info,registry,people,Usman Qadir,33742f04
info,registry,people,VG Rathi,144e5b16
info,registry,people,Zahir Khan,786b7fe8
