version,2.2.0
info,balls_per_over,6
info,team,Afghanistan
info,team,Ireland
info,gender,male
info,season,2023/24
info,date,2024/03/17
info,event,Afghanistan vs Ireland
info,match_number,2
info,venue,Sharjah Cricket Stadium
info,city,Sharjah
info,toss_winner,Afghanistan
info,toss_decision,bat
info,player_of_match,Rashid Khan
info,umpire,Bismillah Shinwari
info,umpire,Izatullah Safi
info,reserve_umpire,Ahmed Shah Durrani
info,tv_umpire,Ahmed Shah Pakteen
info,match_referee,DC Boon
info,winner,Afghanistan
info,winner_runs,10
info,player,Afghanistan,Rahmanullah Gurbaz
info,player,Afghanistan,Sediqullah Atal
info,player,Afghanistan,Ibrahim Zadran
info,player,Afghanistan,Mohammad Ishaq
info,player,Afghanistan,Azmatullah Omarzai
info,player,Afghanistan,Mohammad Nabi
info,player,Afghanistan,Ijaz Ahmad Ahmadzai
info,player,Afghanistan,Nangeyalia Kharote
info,player,Afghanistan,Rashid Khan
info,player,Afghanistan,Naveen-ul-Haq
info,player,Afghanistan,Fazalhaq Farooqi
info,player,Ireland,A Balbirnie
info,player,Ireland,PR Stirling
info,player,Ireland,L Tucker
info,player,Ireland,HT Tector
info,player,Ireland,C Campher
info,player,Ireland,GH Dockrell
info,player,Ireland,GJ Delany
info,player,Ireland,MR Adair
info,player,Ireland,BJ McCarthy
info,player,Ireland,J Little
info,player,Ireland,B White
info,registry,people,A Balbirnie,6ef13460
info,registry,people,Ahmed Shah Durrani,af23265a
info,registry,people,Ahmed Shah Pakteen,43602937
info,registry,people,Azmatullah Omarzai,8f6dd463
info,registry,people,B White,1a448be0
info,registry,people,BJ McCarthy,3766056b
info,registry,people,Bismillah Shinwari,cae815a0
info,registry,people,C Campher,478a63e7
info,registry,people,DC Boon,e79a1fe3
info,registry,people,Fazalhaq Farooqi,e9c7f0d0
info,registry,people,GH Dockrell,99cddc5e
info,registry,people,GJ Delany,33b3d2df
info,registry,people,HT Tector,59ea70a4
info,registry,people,Ibrahim Zadran,d4550956
info,registry,people,Ijaz Ahmad Ahmadzai,4d4dbd57
info,registry,people,Izatullah Safi,0429e73e
info,registry,people,J Little,9061a703
info,registry,people,L Tucker,3979b5e0
info,registry,people,MR Adair,fc55ec67
info,registry,people,Mohammad Ishaq,32de4eae
info,registry,people,Mohammad Nabi,62af8546
info,registry,people,Nangeyalia Kharote,75b8e198
info,registry,people,Naveen-ul-Haq,c0c411cb
info,registry,people,PR Stirling,cf494ffe
info,registry,people,Rahmanullah Gurbaz,0bacade8
info,registry,people,Rashid Khan,5f547c8b
info,registry,people,Sediqullah Atal,3c28853f
